Running query: taint_structs.ql on database /home/till/thesis/hantro-db...
|    flow_direction     |             source_function             |              sink_function               |         struct_name          | access_type |             file             |
| Kernel → Driver       | hantro_try_ctrl                         | hantro_try_ctrl                          | v4l2_ctrl_h264_sps           | Read        | hantro_drv.c                 |
| Kernel → Driver       | hantro_try_ctrl                         | hantro_try_ctrl                          | v4l2_ctrl_hevc_sps           | Read        | hantro_drv.c                 |
| Kernel → Driver       | hantro_av1_s_ctrl                       | hantro_av1_s_ctrl                        | v4l2_ctrl_ptr                | Read        | hantro_drv.c                 |
| Kernel → Driver       | hantro_try_ctrl                         | hantro_try_ctrl                          | v4l2_ctrl_ptr                | Read        | hantro_drv.c                 |
| Kernel → Driver       | hantro_try_ctrl                         | hantro_try_ctrl                          | v4l2_ctrl_vp9_frame          | Read        | hantro_drv.c                 |
| Kernel → Driver       | hantro_av1_s_ctrl                       | hantro_set_fmt_cap                       | v4l2_fh                      | Read        | hantro_v4l2.c                |
| Kernel → Driver       | hantro_av1_s_ctrl                       | hantro_set_fmt_out                       | v4l2_fh                      | Read        | hantro_v4l2.c                |
| Kernel → Driver       | hantro_av1_s_ctrl                       | hantro_update_requires_hold_capture_buf  | v4l2_fh                      | Read        | hantro_v4l2.c                |
| Kernel → Driver       | hantro_av1_s_ctrl                       | hantro_update_requires_request           | v4l2_fh                      | Read        | hantro_v4l2.c                |
| Kernel → Driver       | hantro_buf_queue                        | hantro_buf_queue                         | v4l2_fh                      | Read        | hantro_v4l2.c                |
| Kernel → Driver       | hantro_start_streaming                  | hantro_start_streaming                   | v4l2_fh                      | Read        | hantro_v4l2.c                |
