Running query: ioctl_recursive_calls.ql on database /home/till/thesis/hantro-db...
|         caller_file          | core_scope  | unique_ioctls_calling_this |                                                              ioctl_list                                                               |         called_file          |
| hantro_v4l2.c                | 2_SubSystem |                          2 | v4l_qbuf, v4l_streamon                                                                                                                | hantro_postproc.c            |
| hantro_v4l2.c                | 2_SubSystem |                          2 | v4l_qbuf, v4l_streamon                                                                                                                | v4l2-mem2mem.c               |
| hantro_v4l2.c                | 2_SubSystem |                          2 | v4l_qbuf, v4l_streamon                                                                                                                | videobuf2-core.h             |
| hantro_v4l2.c                | 2_SubSystem |                          2 | v4l_qbuf, v4l_streamon                                                                                                                | v4l2-mem2mem.h               |
| hantro_v4l2.c                | 2_SubSystem |                          2 | v4l_reqbufs, v4l_streamoff                                                                                                            | v4l2-event.c                 |
| hantro_v4l2.c                | 2_SubSystem |                          2 | v4l_reqbufs, v4l_streamoff                                                                                                            | rockchip_vpu981_hw_av1_dec.c |
| hantro_v4l2.c                | 2_SubSystem |                          2 | v4l_reqbufs, v4l_streamoff                                                                                                            | v4l2-ctrls-request.c         |
| hantro_v4l2.c                | 2_SubSystem |                          2 | v4l_reqbufs, v4l_streamoff                                                                                                            | hantro_v4l2.c                |
| hantro_v4l2.c                | 2_SubSystem |                          2 | v4l_reqbufs, v4l_streamoff                                                                                                            | hantro_postproc.c            |
| hantro_v4l2.c                | 2_SubSystem |                          2 | v4l_reqbufs, v4l_streamoff                                                                                                            | v4l2-mem2mem.c               |
| hantro_v4l2.c                | 2_SubSystem |                          2 | v4l_reqbufs, v4l_streamoff                                                                                                            | videobuf2-core.h             |
| hantro_v4l2.c                | 2_SubSystem |                          2 | v4l_reqbufs, v4l_streamoff                                                                                                            | v4l2-mem2mem.h               |
| hantro_postproc.c            | 3_kernel    |                          2 | v4l_qbuf, v4l_streamon                                                                                                                | dma-mapping.h                |
| hantro_postproc.c            | 3_kernel    |                          2 | v4l_reqbufs, v4l_streamoff                                                                                                            | dma-mapping.h                |
| hantro_postproc.c            | 1_Driver    |                          2 | v4l_qbuf, v4l_streamon                                                                                                                | rockchip_vpu981_hw_av1_dec.c |
| hantro_postproc.c            | 1_Driver    |                          2 | v4l_qbuf, v4l_streamon                                                                                                                | hantro_v4l2.c                |
| hantro_postproc.c            | 1_Driver    |                          2 | v4l_qbuf, v4l_streamon                                                                                                                | hantro_postproc.c            |
| hantro_postproc.c            | 1_Driver    |                          2 | v4l_qbuf, v4l_streamon                                                                                                                | hantro_hw.h                  |
| hantro_postproc.c            | 2_SubSystem |                          2 | v4l_qbuf, v4l_streamon                                                                                                                | rockchip_vpu981_hw_av1_dec.c |
