Running query: recursive_function_calls.ql on database /home/till/thesis/hantro-db...
|                     col0                     |             col1             |
| vb2_dma_sg_finish                            | videobuf2-dma-sg.c           |
| vb2_dma_sg_put                               | videobuf2-dma-sg.c           |
| vb2_dma_sg_alloc                             | videobuf2-dma-sg.c           |
| vb2_dma_sg_alloc_compacted                   | videobuf2-dma-sg.c           |
| vb2_set_flags_and_caps                       | videobuf2-v4l2.c             |
| __init_vb2_v4l2_buffer                       | videobuf2-v4l2.c             |
| vb2_vmalloc_detach_dmabuf                    | videobuf2-vmalloc.c          |
| vb2_vmalloc_unmap_dmabuf                     | videobuf2-vmalloc.c          |
| vb2_vmalloc_num_users                        | videobuf2-vmalloc.c          |
| vb2_vmalloc_vaddr                            | videobuf2-vmalloc.c          |
| vb2_vmalloc_put_userptr                      | videobuf2-vmalloc.c          |
| vb2_vmalloc_put                              | videobuf2-vmalloc.c          |
| vb2_vmalloc_alloc                            | videobuf2-vmalloc.c          |
| clk_disable_unprepare                        | clk.h                        |
| clk_disable                                  | clk.h                        |
| clk_enable                                   | clk.h                        |
| clk_unprepare                                | clk.h                        |
| cci_update_bits                              | v4l2-cci.c                   |
| cci_write                                    | v4l2-cci.c                   |
| cci_read                                     | v4l2-cci.c                   |
| media_request_object_complete                | mc-request.c                 |
| media_request_object_unbind                  | mc-request.c                 |
| media_request_object_bind                    | mc-request.c                 |
| media_request_object_init                    | mc-request.c                 |
| media_request_object_find                    | mc-request.c                 |
| media_request_object_put                     | mc-request.c                 |
| media_request_object_get                     | media-request.h              |
| media_request_put                            | mc-request.c                 |
| v4l2_ctrl_request_complete                   | v4l2-ctrls-request.c         |
| v4l2_ctrl_s_ctrl                             | v4l2-ctrls.h                 |
| __v4l2_ctrl_s_ctrl                           | v4l2-ctrls-api.c             |
| v4l2_ctrl_get_name                           | v4l2-ctrls-defs.c            |
| __v4l2_ctrl_modify_range                     | v4l2-ctrls-api.c             |
| v4l2_ctrl_find                               | v4l2-ctrls-core.c            |
| v4l2_ctrl_new_std                            | v4l2-ctrls-core.c            |
| v4l2_ctrl_unlock                             | v4l2-ctrls.h                 |
| v4l2_ctrl_lock                               | v4l2-ctrls.h                 |
| v4l2_ctrl_handler_free                       | v4l2-ctrls-core.c            |
